time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1973-10-03T00:26:03.500Z,-20.968,-67.998,107,5.1,mb,,,,,us,usp00003nh,2014-11-06T23:21:20.612Z,"133 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1973-10-03T23:33:39.900Z,-21.221,-67.614,173,4.7,mb,,,,,us,usp00003p4,2014-11-06T23:21:20.631Z,"117 km SW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1973-10-25T14:08:59.500Z,-21.985,-63.656,529,6.1,mb,,,,,us,usp00003xk,2022-04-27T18:39:25.946Z,"4 km NNE of Yacuiba, Bolivia",earthquake,,,,,reviewed,us,us
1973-10-25T15:10:40.200Z,-21.793,-63.565,548,5.3,mb,,,,,us,usp00003xn,2014-11-06T23:21:21.012Z,"27 km NNE of Yacuiba, Bolivia",earthquake,,,,,reviewed,us,us
1973-10-28T08:14:29.100Z,-21.69,-67.451,210,4.9,mb,,,,,us,usp00003z0,2014-11-06T23:21:21.054Z,"150 km SSW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1973-12-01T14:34:10.100Z,-17.725,-69.732,142,5.2,mb,,,,,us,usp00004cs,2014-11-06T23:21:21.660Z,Peru-Bolivia border region,earthquake,,,,,reviewed,us,us
1973-12-31T20:06:24.800Z,-21.512,-67.052,116,4.4,mb,,,,,us,usp00004rt,2014-11-06T23:21:22.125Z,"107 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1974-02-21T16:01:27.100Z,-22.071,-63.643,528,4,mb,,,,,us,usp00005c8,2014-11-06T23:21:22.919Z,"7 km SSE of Yacuiba, Bolivia",earthquake,,,,,reviewed,us,us
1974-03-05T17:15:04.400Z,-17.834,-68.596,190,4.5,mb,,,,,us,usp00005h1,2014-11-06T23:21:23.231Z,"17 km WNW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1974-03-06T21:45:40.000Z,-16.421,-68.484,192,3.7,mb,,,,,us,usp00005hk,2014-11-06T23:21:23.250Z,"14 km SSE of Batallas, Bolivia",earthquake,,,,,reviewed,us,us
1974-03-23T23:35:18.400Z,-20.854,-67.847,170,4.5,mb,,,,,us,usp00005qq,2014-11-06T23:21:23.438Z,"113 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1974-05-03T23:20:19.500Z,-19.395,-68.733,144,4.4,mb,,,,,us,usp000066t,2014-11-06T23:21:24.052Z,"172 km S of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1974-06-03T02:10:35.300Z,-20.088,-67.056,237,4.4,mb,,,,,us,usp00006mg,2014-11-06T23:21:24.522Z,"26 km NNW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1974-06-29T10:58:21.000Z,-21.128,-67.876,200,4.4,mb,,,,,us,usp00006y9,2014-11-06T23:21:24.984Z,"132 km SW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1974-06-29T12:46:50.000Z,-20.771,-66.324,170,4.1,mb,,,,,us,usp00006yb,2014-11-06T23:21:24.986Z,"21 km NNW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1974-07-01T16:51:51.500Z,-22.135,-64.735,13,5.9,ms,,,,,us,usp00006z6,2022-04-27T18:14:07.306Z,"66 km S of Tarija, Bolivia",earthquake,,,,,reviewed,us,us
1974-07-15T02:27:32.500Z,-19.247,-68.818,160,4.5,mb,,,,,us,usp000075j,2014-11-06T23:21:25.240Z,"158 km SSW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
